state,year_month,landings,temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,pollutant_value
Johor,2018-01,3562,26.90277777777778,1002.7631111111112,24.155555555555555,85.52916666666667,8.45138888888889,29.620077949920695,26.90277777777778,1.8875,29.644788765088208,8.662962962962963,17.793651402020732
Johor,2018-02,3828,26.40940151762402,1006.8629166666666,22.59930170256745,80.22559358681463,12.489856020942408,40.019999999999996,26.409951734293195,1.9413620539599654,28.35443864229765,8.42765184859155,26.6157540073176
Johor,2018-03,5367,27.21180555555556,1004.5369444444444,24.15798611111111,84.22222222222223,7.836805555555555,40.218333333333334,27.21180555555556,2.0729166666666665,30.10661657955865,8.553829526390501,22.94018329877111
Johor,2018-04,5405,27.542361111111113,1003.6602222222222,24.669444444444444,85.14930555555556,7.387499999999999,40.41666666666667,27.542361111111113,1.9847222222222223,30.86633084780627,8.518706155415392,24.961114812719945
Johor,2018-05,6312,27.450940860215056,1003.817311827957,24.94220430107527,87.0228494623656,6.360887096774194,33.0,27.450940860215056,1.707661290322581,30.805753316211465,8.273917092263593,24.824511182976572
Johor,2018-06,6842,27.053472222222222,1004.4049305555556,24.721527777777776,87.78680555555556,6.611805555555556,36.375,27.053472222222222,1.5916666666666668,30.172201969510464,8.287731481481481,25.351547644044395
Johor,2018-07,6411,27.31179454048595,1003.8520698924732,24.703636458147685,86.40645235549218,7.239704004039684,26.0,27.31179454048595,1.6482801639636429,30.71134218980056,8.510962532019278,28.23443319960601
Johor,2018-08,5799,27.307065449684877,1004.1241807909604,24.462775588868425,85.38789643220727,7.45906771889741,34.67857142857143,27.307065449684877,1.9177604737369731,30.537265956950087,8.469206999938812,45.36738043231293
Johor,2018-09,6803,26.571638257575756,1004.8002222222224,24.19887941919192,87.64184027777777,6.201325757575757,28.33333333333333,26.571638257575756,2.0222380050505055,29.155627028280016,8.205967883336541,57.51293103448276
Johor,2018-10,7018,26.609543010752688,1005.1574731182797,24.706317204301076,89.8736559139785,5.995295698924731,44.5,26.609543010752688,2.026209677419355,29.323422937473588,8.136461915748843,53.45088623943537
Johor,2018-11,6588,26.655059523809527,1004.7969142857144,24.720773809523806,89.66470238095239,5.904087301587301,37.0,26.655059523809527,1.8188095238095239,29.361815504616366,8.452937420178799,47.04057216183575
Johor,2018-12,5732,26.858121137787812,1004.6244952893676,24.64710415490817,88.27581712470513,6.856770720270916,35.07142857142857,26.858121137787812,1.6852622686290681,29.71497406022665,8.527951169118396,43.2348894945343
Johor,2019-01,3755,27.459005376344088,1005.6603225806452,23.989919354838708,81.96303763440861,11.223790322580644,39.59895833333333,27.459005376344088,1.848790322580645,30.55241935483871,8.812948028673835,42.98217797109944
Johor,2019-02,3969,27.745093088951663,1006.5267660208644,23.888586871899818,80.28266232177414,10.35590341882243,37.0,27.745093088951663,1.9977934470716463,30.999825721690947,8.92917436661699,46.84878944513868
Johor,2019-03,5952,28.23035846738391,1006.5050652246538,24.35116470171093,80.71484815667498,6.785121768983625,35.93333333333333,28.23032172631658,2.0833333333333335,31.326838260240198,8.801017224616546,60.44756335282651
Johor,2019-04,6808,28.105761995215403,1005.0598611365459,25.280139069907523,85.69034761646208,4.637031111168228,32.169841269841264,28.10931024195989,1.996518105849582,31.364001326560892,8.559103859103859,54.84722222222222
Johor,2019-05,6006,28.21062976257488,1005.3141143867488,25.730435573703975,87.35837417993547,4.89449356928144,40.77676767676767,28.21050594547043,1.7013113215977125,31.514650848765434,8.38237019080388,55.68116518353726
Johor,2019-06,6348,27.807160605418712,1005.1981092111168,25.74544735342406,88.69139417054612,5.530443292791788,39.653333333333336,27.847633501837617,1.7259495698334248,31.598834325396826,8.35180234743745,49.439000483760985
Johor,2019-07,5935,27.787589830993955,1005.7543499731112,25.08944665435566,86.22749278933476,6.405738940247985,41.0,27.787589830993955,1.627016129032258,30.58660381802683,8.380604585108541,56.21942204301075
Johor,2019-08,5387,28.135499692629296,1005.6752894854299,24.957671617827202,83.96671224362488,7.316400196205536,34.275,28.13381001538757,1.896505376344086,31.0177231807952,8.412275744138192,64.17775537634408
Johor,2019-09,5756,28.132941636972248,1006.5857138020453,25.07330381868532,84.66341317268295,6.7064496995902765,49.0,28.133585766571116,2.027777777777778,31.160813492063493,6.526618760624324,84.79965277777778
Johor,2019-10,6401,27.03435851216362,1005.6280979786231,24.79152554327709,88.52322543403483,4.56651256511651,33.64285714285714,27.03805162825131,2.030913978494624,29.185309973045825,7.792650880599755,56.507283197831974
Johor,2019-11,6711,27.03862595098306,1005.8138050987482,24.84480211492108,88.5670347044035,5.753181128994634,35.671212121212115,27.039146450509293,1.8243055555555554,29.407786650067596,7.661018260600434,51.09433229813665
Johor,2019-12,2099,26.378263840295144,1006.559204309771,24.239927806172442,88.62000479003636,9.657893136493984,38.04646464646464,26.378263840295144,1.6861559139784945,28.61760752688172,7.728046594982079,33.989656381486675
Johor,2020-01,2678,27.338752301898676,1006.7541906852598,24.841200075296502,86.90282423957096,10.385640214387022,37.00675465838509,27.338711843914297,1.9952893674293406,30.4663226955629,8.454747133467315,37.03235951116504
Johor,2020-02,2907,27.34072264752861,1007.1096370194136,25.017260851169116,87.86013448026974,10.802875978900119,36.122510822510826,27.34063348691213,2.522270114942529,31.08480319192921,8.534132693844924,37.34172142039579
Johor,2020-03,5212,28.35588504204296,1005.7594790830793,25.196672429640653,84.02482066694874,7.554647947943567,35.47222222222222,28.35588504204296,2.793010752688172,31.98561501458361,8.781586021505376,45.60572696619942
Johor,2020-04,6651,28.508751160631387,1005.5852982992277,25.676844061480537,85.72209311696515,6.0589096596306184,33.43333333333334,28.509205801194025,2.670138888888889,32.3809335443038,8.588657407407407,40.98007246376812
Johor,2020-05,6098,28.21588373605483,1004.4603013488149,26.18410932062118,89.52394035950381,5.051832566839809,35.15,28.217349624295164,2.346102150537634,31.817870619946092,8.399373845255841,42.654706036501466
Johor,2020-06,8277,27.39192098573139,1004.8220810680486,25.554992331078825,90.35162204866229,5.2614042636801255,39.7337962962963,27.396175262795953,2.234383903133903,30.11448204369047,8.309492085063011,43.757727975270484
Johor,2020-07,6114,26.49655606758833,1005.0401246793617,24.317169994879674,88.49010189452126,4.6349199721313985,24.048023012042318,26.49655606758833,1.8927967054656747,29.217069892473116,8.22762033288349,41.36433172302738
Johor,2020-08,9363,27.067650724948493,1005.3196386544918,24.430576302660995,86.35003069037033,5.361589853207953,21.140217661691537,27.067650724948493,2.264356380524165,30.40158952781674,8.192178372094144,48.65760869565217
Johor,2020-09,7612,26.500375038807107,1005.8356797637748,24.015423043774415,86.9691952680818,5.138438552715107,27.775265857625424,26.500375038807107,2.283983033765656,28.981410554008047,8.455858901740687,42.9959613606572
Johor,2020-10,7234,27.72813989020293,1005.0603293892283,24.294466135834316,82.35967172659561,5.2297604737677865,26.42177615571776,27.72813989020293,2.433067962413961,31.157090085321222,8.573857875588955,49.09088562516443
Johor,2020-11,5210,26.220101997843813,1006.6967201797385,23.981109763493027,88.1068429519574,4.276259854457247,25.01155245603396,26.220101997843813,2.239080082204703,28.177083333333336,8.346491228070175,39.28873502994012
Johor,2020-12,2821,26.801347501232986,1005.6596587692003,23.724239895869875,83.92973132343893,6.332965854292445,23.34019324716529,26.80451100439649,2.0916336175556878,29.39423076923077,8.6391301951653,40.64100714854153
Johor,2021-01,2665,25.194253480205724,1006.1995498058639,22.840301503107508,87.56585001050632,7.911990922743346,28.847622084156683,25.194168573263735,1.9808863293357624,25.454273504273505,6.901785714285714,36.76164135166559
Johor,2021-02,2785,27.065417423179824,1007.0651059101463,22.751021427504728,78.35565858680951,8.502181119939442,27.21718098602177,27.06532298524834,2.472532980643855,29.45545969300129,8.745506535947712,51.635129326812866
Johor,2021-03,2994,27.323649470292622,1006.2456117391048,23.991418499042283,83.34478558477288,5.993435926281838,26.692246213332382,27.323637360823014,2.4719946058168087,30.435709610278813,8.604733463902733,50.105931823198524
Johor,2021-04,3977,27.29700981625375,1006.4799877515359,24.403196311216938,85.30171318115495,4.445790481577049,30.385428880361825,27.296962261905925,2.283550026152582,30.420375368777854,8.366065159025196,52.87833991825209
Johor,2021-05,4254,27.85500152870967,1005.3529458880814,24.940400682728395,85.1856882703618,4.2921203681079625,24.94612051520129,27.85500152870967,1.870144923256295,31.164573138598207,8.20397546219657,46.731260829222855
Johor,2021-06,4016,27.285482023071612,1006.4137435546807,24.347814757851857,85.07240778766612,4.092851243823969,27.779284131205674,27.285449706629006,1.6945133963750987,30.43974914822283,8.063277054935977,52.08058915280467
Johor,2021-07,5529,27.56640116743587,1005.9278644412764,24.375509318667262,83.92919163471853,4.792289672754769,23.830848974745397,27.56640116743587,1.8347140357609615,30.698690797073546,8.069764464925754,50.775536327571494
Johor,2021-08,5889,26.7328866561495,1006.769011415906,24.1353452870148,86.61436390362168,4.637217971286384,28.140134973839846,26.732868370156574,2.0823238303922156,29.020833333333332,8.059587813620073,42.90098224392959
Johor,2021-09,6560,27.05073863431313,1006.2079049802197,24.31922816075769,86.01619405081148,4.852627375126575,28.504179173867783,27.05073863431313,2.2292813323610035,29.525398895070314,8.357632192584703,45.43862734727686
Johor,2021-10,6609,27.514521523533613,1005.9061350236703,24.768145092450276,86.00844563111774,4.778903135394507,30.658809191274276,27.514521523533613,2.2113687007812075,30.68230958589909,8.35931899641577,52.029036668459746
Johor,2021-11,3245,26.868801416822993,1005.1600416646254,24.587785513234497,88.22407628149641,4.644100747749365,22.277704860655376,26.868801416822993,1.9905499409371308,29.385416666666664,8.396776693011002,43.619565217391305
Johor,2021-12,2895,27.094702466650897,1006.9567622617915,24.456348729452827,86.257754584585,6.591133935641556,31.017950706276395,27.094667074115506,1.8961372059921924,29.50537634408602,8.289650537634408,38.56193658614999
Johor,2022-01,3048,26.980012771970596,1007.1681650949504,23.658156387442414,83.05423444911699,7.273181482495901,27.554584949933783,26.981805028260972,1.8481144237366827,29.476714539174033,8.65576925859998,38.27708443388854
Johor,2022-02,3207,26.820877210254842,1005.9972615273198,24.205138007187486,86.52850296826007,6.408388147531827,27.196989880214787,26.822416264872892,2.1813346775346365,29.088879968146422,8.278611396806738,34.54740997379806
Johor,2022-03,4237,27.62151624039168,1005.2567616838785,24.779093376416746,85.59870354919627,5.351319765522255,26.113450267277585,27.629697217578347,2.3446636505847986,30.721076206162373,8.482648665075661,42.49311580481714
Johor,2022-04,6384,27.458041834988016,1005.3460270806843,24.930130443292825,87.08244589144417,4.32174971421066,32.61615950862244,27.460894715717902,2.1790984000518328,30.368040628819486,8.362566088006329,50.156408009725595
Johor,2022-05,5468,28.330807226078118,1004.901663736634,25.520132461109597,85.71667216641956,4.477478289628794,29.537608998467753,28.34720321297111,1.9133319932939792,32.051985091557285,8.265547659887282,51.18106855743209
Johor,2022-06,5912,27.03758475399502,1005.4850327208683,24.703672549602068,87.87171232559291,4.16720616127414,26.282029411764704,27.041775126567956,1.7637200496810523,29.947362468991685,8.123680497775204,50.29954816150405
Johor,2022-07,5343,27.759327722299723,1004.7617054708962,25.06216344162681,86.14918322727934,4.655383969608864,26.666164260539517,27.764268685972002,1.7987385173568449,31.06697733307542,8.333048642455864,52.343220886413285
Johor,2022-08,4855,27.149041566083923,1005.3887660075271,24.684603590098337,87.22104939072217,4.684822374191405,29.28026414241079,27.150282981310138,2.0467670799054845,29.966319488324416,8.230850281793678,50.46029368177861
Johor,2022-09,4721,27.195947371634904,1006.3507268251108,24.581901847992533,86.44220062230764,4.660468719222392,26.47865955891836,27.197229318475877,2.1821199249606766,29.972341190761924,8.215098924175539,52.98355324361201
Johor,2022-10,6205,27.493908004024053,1006.1385894358365,24.62355487307959,85.30948590269483,5.003644833240813,28.28809175920514,27.494320645337506,2.698921079903187,29.462375477743095,8.40132353548707,48.05455440403453
Johor,2022-11,5543,27.490667539577277,1005.7331083512416,24.88697822982209,86.49162537266483,4.9679036865710335,30.47255115142478,27.491534819042656,2.481175960121391,29.49045268966755,8.299822573991392,42.55785887307293
Johor,2022-12,2804,27.16371532969599,1005.6216912636726,24.418321397391907,85.65848313749456,6.116360159020655,29.022128134661628,27.163708871416475,2.4228226730222073,28.565105032701474,8.307903225806452,38.38909187361612
Johor,2023-01,2590,26.601359476138473,1008.6093320485905,23.51573589972757,84.32768933184329,5.874031499262777,22.746665608232345,26.60265647645913,2.4328541867626146,28.17976505169826,7.962404512807739,40.46822916666667
