state,year_month,predicted_landings,lower_80,upper_80,lower_95,upper_95
Selangor,2026-12-01,7614,7329,7924,7146,8147
Selangor,2027-01-01,7209,6906,7534,6732,7925
Selangor,2027-02-01,6911,6619,7232,6435,7627
Selangor,2027-03-01,10059,9796,10380,9592,10838
Selangor,2027-04-01,10011,9684,10309,9535,10549
Selangor,2027-05-01,9668,9365,9978,9165,10201
Selangor,2027-06-01,9241,8978,9562,8738,9774
Selangor,2027-07-01,9349,9046,9670,8843,9882
Selangor,2027-08-01,9583,9256,9894,9080,10299
Selangor,2027-09-01,9498,9214,9827,9022,10036
Selangor,2027-10-01,9535,9205,9868,9031,10068
Selangor,2027-11-01,8540,8248,8861,8064,9256
Selangor,2027-12-01,7539,7212,7837,7036,8318
Selangor,2028-01-01,7035,6743,7360,6567,7568
Selangor,2028-02-01,6501,6216,6811,6025,7034
Selangor,2028-03-01,9354,9070,9593,8887,9887
Selangor,2028-04-01,9692,9399,10002,9216,10226
Selangor,2028-05-01,9034,8771,9346,8531,9572
Selangor,2028-06-01,9461,9158,9790,8957,9994
Selangor,2028-07-01,9322,9038,9643,8846,10038
Selangor,2028-08-01,9520,9257,9845,9053,10053
Selangor,2028-09-01,9523,9261,9845,9048,10057
Selangor,2028-10-01,9485,9182,9810,9017,10264
Selangor,2028-11-01,8540,8237,8785,8064,9036
Selangor,2028-12-01,7730,7427,8063,7262,8446
Selangor,2029-01-01,6943,6659,7264,6466,7439
Selangor,2029-02-01,6478,6175,6803,5974,7194
Selangor,2029-03-01,9054,8761,9379,8578,9587
Selangor,2029-04-01,9663,9380,9974,9158,10380
Selangor,2029-05-01,9096,8812,9421,8630,9629
Selangor,2029-06-01,9467,9183,9789,8964,10183
Selangor,2029-07-01,9346,9062,9675,8878,9884
Selangor,2029-08-01,9557,9252,9867,8956,10054
Selangor,2029-09-01,9498,9168,9819,8994,10214
Selangor,2029-10-01,9535,9275,9864,9059,10251
Selangor,2029-11-01,8540,8210,8844,8036,9073
Selangor,2029-12-01,7485,7201,7806,7018,8018
Selangor,2030-01-01,6895,6632,7224,6419,7429
Selangor,2030-02-01,6704,6401,7029,6228,7200
Selangor,2030-03-01,10130,9846,10451,9662,10663
Selangor,2030-04-01,9974,9690,10284,9507,10472
Selangor,2030-05-01,9668,9363,9979,9067,10165
Selangor,2030-06-01,9247,8997,9576,8780,9785
Selangor,2030-07-01,9349,9086,9653,8881,9886
Selangor,2030-08-01,9520,9190,9841,9017,10236
Selangor,2030-09-01,9523,9196,9845,9047,10241
Selangor,2030-10-01,9485,9220,9795,9009,9982
Selangor,2030-11-01,8540,8237,8838,8036,9036
Selangor,2030-12-01,7730,7438,8034,7254,8227
Terengganu,2024-01-01,2081,1818,2402,1613,2578
Terengganu,2024-02-01,2646,2354,2968,2141,3180
Terengganu,2024-03-01,3457,3174,3778,2990,4173
Terengganu,2024-04-01,3784,3479,4105,3308,4322
Terengganu,2024-05-01,4077,3785,4321,3609,4610
Terengganu,2024-06-01,4511,4227,4844,4034,5044
Terengganu,2024-07-01,4475,4212,4804,3999,5192
Terengganu,2024-08-01,4755,4453,5080,4155,5472
Terengganu,2024-09-01,4928,4644,5253,4460,5461
Terengganu,2024-10-01,5732,5448,6057,5256,6265
Terengganu,2024-11-01,3989,3726,4310,3513,4768
Terengganu,2024-12-01,2487,2157,2791,1984,2984
Terengganu,2025-01-01,2266,1982,2600,1790,2982
Terengganu,2025-02-01,2598,2314,2908,2095,3314
Terengganu,2025-03-01,3286,3036,3531,2811,3784
Terengganu,2025-04-01,3813,3483,4117,3212,4309
Terengganu,2025-05-01,4114,3830,4439,3638,4830
Terengganu,2025-06-01,4516,4213,4814,4010,5013
Terengganu,2025-07-01,4475,4183,4797,3972,4973
Terengganu,2025-08-01,4764,4472,5062,4260,5302
Terengganu,2025-09-01,4887,4624,5191,4411,5420
Terengganu,2025-10-01,5378,5094,5699,4874,6094
Terengganu,2025-11-01,4366,4101,4677,3890,4904
Terengganu,2025-12-01,3354,3062,3676,2878,3888
Terengganu,2026-01-01,3174,2890,3509,2698,3890
Terengganu,2026-02-01,2969,2677,3294,2493,3685
Terengganu,2026-03-01,3688,3397,4013,3213,4405
Terengganu,2026-04-01,4047,3720,4369,3544,4580
Terengganu,2026-05-01,4366,4083,4671,3899,5083
Terengganu,2026-06-01,4567,4284,4892,4092,5284
Terengganu,2026-07-01,4475,4148,4786,3999,5192
Terengganu,2026-08-01,4764,4480,5089,4296,5480
Terengganu,2026-09-01,4928,4625,5253,4424,5461
Terengganu,2026-10-01,5511,5228,5822,5006,6008
Terengganu,2026-11-01,4327,4024,4631,3851,5043
Terengganu,2026-12-01,3422,3130,3751,2946,4138
Terengganu,2027-01-01,3255,2952,3553,2752,3788
Terengganu,2027-02-01,3179,2887,3489,2675,3896
Terengganu,2027-03-01,4069,3786,4374,3566,4786
Terengganu,2027-04-01,4752,4460,5063,4284,5285
Terengganu,2027-05-01,4792,4533,5102,4316,5508
Terengganu,2027-06-01,4878,4550,5199,4402,5594
Terengganu,2027-07-01,4838,4575,5148,4361,5371
Terengganu,2027-08-01,5133,4830,5458,4658,5850
Terengganu,2027-09-01,4919,4636,5230,4416,5636
Terengganu,2027-10-01,5378,5086,5689,4901,6094
Terengganu,2027-11-01,4327,4000,4652,3824,4865
Terengganu,2027-12-01,3422,3130,3743,2916,3918
Terengganu,2028-01-01,3298,2969,3609,2822,3796
Terengganu,2028-02-01,3243,2960,3569,2740,3960
Terengganu,2028-03-01,4048,3765,4377,3545,4582
Terengganu,2028-04-01,4560,4277,4871,4057,5094
Terengganu,2028-05-01,4467,4164,4792,3964,5184
Terengganu,2028-06-01,4559,4254,4884,4056,5275
Terengganu,2028-07-01,4467,4204,4792,3999,5000
Terengganu,2028-08-01,4690,4430,5011,4222,5186
Terengganu,2028-09-01,4887,4595,5208,4419,5603
Terengganu,2028-10-01,5511,5228,5841,5036,6228
Terengganu,2028-11-01,4327,4024,4648,3824,4860
Terengganu,2028-12-01,3422,3119,3747,2918,4201
Terengganu,2029-01-01,3298,3015,3620,2823,4015
Terengganu,2029-02-01,3293,3010,3605,2817,4072
Terengganu,2029-03-01,4155,3892,4480,3652,4934
Terengganu,2029-04-01,4752,4469,5073,4277,5469
Terengganu,2029-05-01,4792,4509,5102,4316,5571
Terengganu,2029-06-01,4878,4618,5199,4402,5416
Terengganu,2029-07-01,4838,4588,5163,4372,5371
Terengganu,2029-08-01,5139,4855,5464,4636,5677
Terengganu,2029-09-01,4960,4668,5281,4485,5677
Terengganu,2029-10-01,5378,5094,5699,4902,5911
Terengganu,2029-11-01,4327,4035,4652,3824,5043
Terengganu,2029-12-01,3422,3092,3720,2946,3955
Terengganu,2030-01-01,3298,3007,3620,2823,4015
Terengganu,2030-02-01,3314,2986,3635,2811,3812
Terengganu,2030-03-01,4179,3887,4508,3676,4712
Terengganu,2030-04-01,4759,4476,5084,4283,5475
Terengganu,2030-05-01,4793,4491,5118,4288,5511
Terengganu,2030-06-01,4869,4577,5194,4366,5403
Terengganu,2030-07-01,4829,4546,5150,4354,5326
Terengganu,2030-08-01,5059,4799,5389,4583,5597
Terengganu,2030-09-01,4919,4617,5159,4416,5416
Terengganu,2030-10-01,5511,5220,5836,5008,6045
Terengganu,2030-11-01,4327,4043,4648,3726,5043
Terengganu,2030-12-01,3422,3138,3726,2918,3918
W.P. Labuan,2024-01-01,1116,832,1426,650,1649
W.P. Labuan,2024-02-01,1083,800,1405,607,1617
W.P. Labuan,2024-03-01,1774,1482,2073,1271,2271
W.P. Labuan,2024-04-01,1743,1452,2054,1276,2460
W.P. Labuan,2024-05-01,1847,1584,2169,1372,2344
W.P. Labuan,2024-06-01,1827,1543,2126,1351,2360
W.P. Labuan,2024-07-01,1876,1613,2186,1408,2409
W.P. Labuan,2024-08-01,2078,1786,2407,1575,2794
W.P. Labuan,2024-09-01,2130,1838,2455,1627,2846
W.P. Labuan,2024-10-01,2235,1943,2560,1759,2768
W.P. Labuan,2024-11-01,1914,1611,2212,1438,2630
W.P. Labuan,2024-12-01,1231,928,1535,728,1729
W.P. Labuan,2025-01-01,1213,884,1524,738,1751
W.P. Labuan,2025-02-01,1193,909,1503,717,1690
W.P. Labuan,2025-03-01,1867,1564,2192,1391,2583
W.P. Labuan,2025-04-01,1826,1496,2071,1320,2323
W.P. Labuan,2025-05-01,1858,1567,2163,1355,2392
W.P. Labuan,2025-06-01,1827,1499,2148,1226,2543
W.P. Labuan,2025-07-01,1876,1626,2210,1399,2592
W.P. Labuan,2025-08-01,2170,1842,2495,1667,2708
W.P. Labuan,2025-09-01,2395,2111,2720,1919,2928
W.P. Labuan,2025-10-01,2713,2410,3034,2237,3210
W.P. Labuan,2025-11-01,2346,2062,2679,1878,3062
W.P. Labuan,2025-12-01,1543,1252,1855,1076,2077
W.P. Labuan,2026-01-01,1421,1137,1746,945,1918
W.P. Labuan,2026-02-01,1258,931,1579,755,1974
W.P. Labuan,2026-03-01,1864,1580,2174,1360,2397
W.P. Labuan,2026-04-01,1836,1533,2161,1359,2374
W.P. Labuan,2026-05-01,1858,1531,2180,1258,2392
W.P. Labuan,2026-06-01,1827,1535,2137,1351,2360
W.P. Labuan,2026-07-01,1876,1591,2197,1275,2592
W.P. Labuan,2026-08-01,2343,2040,2653,1866,2840
W.P. Labuan,2026-09-01,2621,2362,2942,2145,3337
W.P. Labuan,2026-10-01,3129,2878,3458,2653,3845
W.P. Labuan,2026-11-01,2929,2666,3251,2426,3463
W.P. Labuan,2026-12-01,1879,1576,2204,1403,2412
W.P. Labuan,2027-01-01,1615,1331,1936,1139,2394
W.P. Labuan,2027-02-01,1535,1243,1839,1059,2251
W.P. Labuan,2027-03-01,1887,1584,2208,1420,2420
W.P. Labuan,2027-04-01,1836,1576,2147,1360,2369
W.P. Labuan,2027-05-01,1858,1575,2180,1383,2392
W.P. Labuan,2027-06-01,1827,1500,2126,1324,2324
W.P. Labuan,2027-07-01,1876,1592,2197,1373,2409
W.P. Labuan,2027-08-01,2548,2245,2858,2045,3264
W.P. Labuan,2027-09-01,2767,2475,3092,2291,3483
W.P. Labuan,2027-10-01,3293,3030,3603,2790,3826
W.P. Labuan,2027-11-01,3210,2926,3514,2706,3743
W.P. Labuan,2027-12-01,2296,2012,2606,1819,3012
W.P. Labuan,2028-01-01,1964,1637,2262,1461,2680
W.P. Labuan,2028-02-01,1703,1400,2032,1227,2236
W.P. Labuan,2028-03-01,2125,1862,2446,1658,2622
W.P. Labuan,2028-04-01,2101,1798,2422,1633,2634
W.P. Labuan,2028-05-01,2123,1831,2444,1620,2657
W.P. Labuan,2028-06-01,2092,1808,2425,1616,2871
W.P. Labuan,2028-07-01,2141,1813,2451,1637,2857
W.P. Labuan,2028-08-01,2776,2513,3105,2299,3309
W.P. Labuan,2028-09-01,3071,2779,3396,2596,3605
W.P. Labuan,2028-10-01,3587,3260,3886,3081,4084
W.P. Labuan,2028-11-01,3463,3171,3784,2996,4179
W.P. Labuan,2028-12-01,2942,2639,3241,2466,3440
W.P. Labuan,2029-01-01,2351,2086,2673,1848,3068
W.P. Labuan,2029-02-01,2140,1848,2461,1664,2637
W.P. Labuan,2029-03-01,2668,2405,2907,2193,3163
W.P. Labuan,2029-04-01,2625,2360,2935,2122,3341
W.P. Labuan,2029-05-01,2658,2374,2979,2182,3374
W.P. Labuan,2029-06-01,2616,2353,2938,2149,3150
W.P. Labuan,2029-07-01,2649,2386,2974,2182,3183
W.P. Labuan,2029-08-01,3039,2755,3360,2562,3755
W.P. Labuan,2029-09-01,3416,3132,3737,2940,3950
W.P. Labuan,2029-10-01,3973,3710,4294,3505,4471
W.P. Labuan,2029-11-01,3502,3210,3741,3027,3999
W.P. Labuan,2029-12-01,3251,2967,3555,2775,3748
W.P. Labuan,2030-01-01,3031,2728,3360,2555,3810
W.P. Labuan,2030-02-01,2704,2377,3014,2228,3422
W.P. Labuan,2030-03-01,3300,3037,3622,2797,3833
W.P. Labuan,2030-04-01,3547,3288,3872,3071,4264
W.P. Labuan,2030-05-01,3824,3562,4149,3357,4358
W.P. Labuan,2030-06-01,3813,3550,4138,3346,4351
W.P. Labuan,2030-07-01,3792,3507,4102,3315,4325
W.P. Labuan,2030-08-01,3980,3696,4305,3504,4513
W.P. Labuan,2030-09-01,4098,3805,4397,3631,4595
W.P. Labuan,2030-10-01,4793,4466,5103,4290,5509
W.P. Labuan,2030-11-01,4172,3845,4476,3696,4670
W.P. Labuan,2030-12-01,3456,3153,3781,2980,3990
